# mu=0.0121504632922363 L1_x=-0.836915727639612 L2_x=-1.15568169499938
orbit_id,x0,y0,z0,vx0,vy0,vz0,T,nu1,nu2,lambda_max
16,-1.01694928833252,0,-0.178345316668056,0,0.091935738303118,0,1.44393425903799,1.34008920710394,-0.782310134670519,0.35066611789601
17,-1.01733159623915,0,-0.178649118672134,0,0.0928084048948185,0,1.44905134982633,1.33996603542095,-0.79752137785452,0.360206234009325
18,-1.01771530274364,0,-0.178951154949142,0,0.0936810961329752,0,1.45418456861647,1.33975226931915,-0.812655444809578,0.369599441205954
19,-1.01810105549471,0,-0.179247448001168,0,0.0945548274815581,0,1.45929789860214,1.33944946592278,-0.827569734790978,0.378736595222292
20,-1.01848842013048,0,-0.179540665604527,0,0.0954288828180509,0,1.46441581698594,1.33905852957279,-0.842358779201358,0.387679159685352
21,-1.01887670311117,0,-0.17983509605678,0,0.0963021230426369,0,1.46957761216637,1.33857737431672,-0.85717175634821,0.396526010179927
22,-1.01926626238759,0,-0.180128614743159,0,0.0971751033816764,0,1.4747642140123,1.33800602683557,-0.8719312102273,0.405218445361073
23,-1.01965786922393,0,-0.180416478547265,0,0.0980490485211327,0,1.47993259309969,1.33735042770722,-0.886470116347801,0.41364078546654
24,-1.02005113210657,0,-0.180701115185261,0,0.0989233066819805,0,1.48510508209581,1.33660918415611,-0.900872631900596,0.421850989921676
25,-1.0204454320026,0,-0.180986483238414,0,0.0997968590629237,0,1.49031812741521,1.33577633732815,-0.915273467898208,0.429938823912394
26,-1.0208408083961,0,-0.181272401118174,0,0.100669744546662,0,1.49557035876189,1.3348502876936,-0.929662871002947,0.437896530989878
27,-1.02123822983427,0,-0.181552751437758,0,0.101543508482,0,1.5008060149476,1.33384420053559,-0.943829573269277,0.445587472477768
28,-1.02163738674594,0,-0.181829496666702,0,0.102417629797878,0,1.50604324397748,1.3327553940007,-0.957839999371758,0.453058701016677
29,-1.02203775648075,0,-0.182106089354405,0,0.103291243663264,0,1.51131400489284,1.3315753214952,-0.971808775412504,0.460385880755027
30,-1.02243905581351,0,-0.182384460453682,0,0.104163866128315,0,1.51663635565807,1.33029626378097,-0.985796821523802,0.467608084527795
31,-1.02284234549989,0,-0.182657714539271,0,0.105037195599434,0,1.52194715361853,1.32894002382359,-0.99957105292022,0.474582980000417
32,-1.02324739835609,0,-0.182927303811202,0,0.105910840595303,0,1.52725990728507,1.32750345278793,-1.01317899939465,0.481345145718253
33,-1.02365370439634,0,-0.183196726643449,0,0.106783954176977,0,1.53260717607599,1.3259738315076,-1.02673357339191,0.487966727947576
34,-1.02406101014929,0,-0.183467779043804,0,0.107656097625718,0,1.5380058740301,1.32434166145238,-1.04028908876946,0.494481972907297
35,-1.02447020702924,0,-0.18373449281085,0,0.10852870045878,0,1.54340112833991,1.32263245009289,-1.05364843295687,0.500777901352334
36,-1.02488106182114,0,-0.183998435793956,0,0.109401359009961,0,1.5488076216224,1.32084069385486,-1.06686056890475,0.506888399350659
37,-1.02529353726865,0,-0.184259924164256,0,0.110273992139743,0,1.55422854913096,1.31896526591368,-1.07993350095847,0.512822669747638
38,-1.02570722700253,0,-0.184521875024105,0,0.11114591147232,0,1.55969130486043,1.31699024334761,-1.09295614797177,0.518634673086667
39,-1.02612208297315,0,-0.184784712916063,0,0.112017009260559,0,1.56520017783286,1.31491088782072,-1.10593664357469,0.524331336137887
40,-1.02653885494486,0,-0.185043206560464,0,0.112888494519854,0,1.57070677608748,1.31275832048039,-1.11870851622487,0.529825015732602
41,-1.0269573857757,0,-0.185298474276941,0,0.113760087130245,0,1.57622171674615,1.31052717173624,-1.13130488971744,0.535139343206147
42,-1.02737742147544,0,-0.185552403474879,0,0.11463134518508,0,1.58176289416911,1.30820577638438,-1.1437805367405,0.540308288336054
43,-1.02779871771745,0,-0.185806870100618,0,0.115501837571049,0,1.58734819533651,1.30577972749993,-1.15618749977307,0.545362642638667
44,-1.02822129372717,0,-0.186061827708728,0,0.116371565522082,0,1.59297754805191,1.30324697458671,-1.16851847513368,0.550301290208026
45,-1.02864578053991,0,-0.186312690910818,0,0.117241555084454,0,1.59860827068196,1.3006427933491,-1.18063379045323,0.555056824130363
46,-1.02907202648624,0,-0.186560600695204,0,0.118111530974461,0,1.60425129386833,1.29795965210043,-1.1925649387253,0.559650545090771
47,-1.02949982349464,0,-0.186807187309643,0,0.118981120226804,0,1.60992224455524,1.2951845794373,-1.20435552079827,0.564108636184136
48,-1.02992896799888,0,-0.187054102914679,0,0.119849951862926,0,1.61563705366591,1.2923017472972,-1.21604731350617,0.568454936267644
49,-1.03035942039908,0,-0.187301756943378,0,0.120717925901813,0,1.6213999750029,1.28930481964902,-1.22764497617723,0.572694352725919
50,-1.03079176474847,0,-0.187545728661775,0,0.121586004451415,0,1.62716957755258,1.28623574414727,-1.23902075929202,0.576770240441156
51,-1.03122588834431,0,-0.187786917569126,0,0.122453972224512,0,1.63295461558451,1.28308712225961,-1.25019670821377,0.580697979987671
52,-1.03166166681358,0,-0.188026366810757,0,0.123321590896267,0,1.63876528191664,1.27984908300141,-1.26119699292032,0.58449308985845
53,-1.03209891032752,0,-0.188265696811125,0,0.124188504935195,0,1.64461734473681,1.27650331760907,-1.27205891845973,0.58817590209649
54,-1.0325375079886,0,-0.188505919462423,0,0.125054487762654,0,1.65052085182343,1.27303593589564,-1.28280113756107,0.591757257392282
55,-1.03297788223995,0,-0.188743729131321,0,0.125920238903166,0,1.65644469820737,1.26948400142802,-1.29333225019533,0.595200915758962
56,-1.03342006686557,0,-0.188978879596164,0,0.126785789580075,0,1.66238681018938,1.26585173101864,-1.30364183351609,0.598506998657577
57,-1.03386404404601,0,-0.189211592376532,0,0.127651081837222,0,1.66834962609256,1.26213735311631,-1.31373124961187,0.601680541160429
58,-1.03430963609262,0,-0.18944345066376,0,0.128515772677576,0,1.6743486821677,1.25832057052869,-1.32363317713765,0.604738631974676
59,-1.03475673820411,0,-0.18967546938151,0,0.12937964061071,0,1.68039415266242,1.25438602331935,-1.33336378494031,0.607690480099651
60,-1.03520534181696,0,-0.189907855961463,0,0.130242630799835,0,1.68648848792294,1.25032811783187,-1.34291863583484,0.610536663906216
61,-1.03565591742296,0,-0.190136660807169,0,0.131105553057727,0,1.69259401887534,1.24620337170703,-1.35220190264069,0.61324501988823
62,-1.03610825501526,0,-0.190363767501226,0,0.1319679996105,0,1.69872924373573,1.24198548346278,-1.36125032044915,0.615833246605115
63,-1.03656242801473,0,-0.190588624418946,0,0.132830071308427,0,1.70488919956462,1.23768329057428,-1.3700460088519,0.618298894273574
64,-1.03701827266462,0,-0.190812814731592,0,0.133691433730928,0,1.71108964808234,1.23327161529266,-1.37861479247118,0.620653913542246
65,-1.03747572539042,0,-0.191037061774085,0,0.134551928430807,0,1.71733809174176,1.22873659045261,-1.38696163683546,0.622901995957909
66,-1.0379348070694,0,-0.191261328893328,0,0.135411549947557,0,1.72363466927722,1.22407615936076,-1.3950750468934,0.625041227261026
67,-1.03839590571076,0,-0.191482145961886,0,0.136270986945713,0,1.72994595068316,1.21935102471658,-1.40288172066382,0.627053610430845
68,-1.03885882937964,0,-0.191701387031679,0,0.137129844292286,0,1.73629061591266,1.21452910542861,-1.4104097229382,0.628950534770968
69,-1.03932365823512,0,-0.191918406559558,0,0.137988237077326,0,1.74266275763995,1.20962282189567,-1.41764018821025,0.63073036117842
70,-1.03979026570679,0,-0.192134561785338,0,0.138845882351991,0,1.74907615719901,1.2046062235165,-1.42458728546226,0.632398675865156
71,-1.04025860390596,0,-0.192350491463096,0,0.13970264058644,0,1.75553761958892,1.19946485869536,-1.43125000114494,0.633956086343454
